Barbecue	BBQ
Cecum	Caecum
Cereberal Spinal Fluid	CSF
Chew	"Chews, Chewy"
Chili	Chilli
Chipotle	Chipolte
Chunk	Chunks
CO	Carbon Monoxide
Coriander	Cilantro
Crayfish	Crawfish
Curry	Curried
De-Boned	Deboned
De-Veined	Devein
Dessicated	Desicated
Dried	Dry
Feces	"Stool, Excrement, Dung, Manure"
Fillet	Filet
Frozen	"Frz, Frz., Fro, Frzn"
Hamster	Hampster
Herb	Herbs
Individually Poly-Wrapped	IWP
Individually Quick Frozen	IQF
Leaf	Leaves
Leg	Legs
Mackerel	Mackeral
Monitor	Moniter
Mussel	Mussels
Not Ready to Eat	NRTE
Patty	Patties
Piece	Pieces
Quality Control	QC
Sample	Samples
Scrap	Scraps
Seed	Seeds
Szechuan	Sichuan
Tentacle	Tenticle
Tentacle	Tenticles
White	Whites
Yolk	Yolks
NCBI	National Center for Biotechnology Information
FDA	Food and Drug Administration
MIT	Massachusetts Institute of Technology
NML	National Microbiology Laboratory
PHE	Public Health England
