BASE_COORD,INSTRUMENT_MODEL,LIBRARY_LAYOUT,LIBRARY_NAME,LIBRARY_SELECTION,LIBRARY_SOURCE,LIBRARY_STRATEGY,PLATFORM,PRIMARY_ID,READ_CLASS,READ_INDEX,READ_LABEL,READ_TYPE,SAMPLE_BioSample,SAMPLE_EXTERNAL_ID,SAMPLE_PRIMARY_ID,SAMPLE_SUBMITTER_ID,SAMPLE_TITLE,SAMPLE_collection_date,SAMPLE_isolation_source,SCIENTIFIC_NAME,STUDY_ABSTRACT,STUDY_BioProject,STUDY_EXTERNAL_ID,STUDY_PRIMARY_ID,STUDY_SUBMITTER_ID,STUDY_TITLE,SUBMITTER_ID,TAXON_ID
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERP001848, ERA167131, ERR178860, ERX155006, ERS180311",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889087,SAMEA1889087,ERS180311,01.O.05,Salmonella enterica subsp. enterica serovar Agona; MC_05-0582,2005,Human(Blood),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","01.O.05, ena-EXPERIMENT-UCC-09-10-2012-18:51:36:980-1, Genomic analysis of a recently emerged serovar of Salmonella",58095
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERP001848, ERA167131, ERR178861, ERX155007, ERS180312",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889069,SAMEA1889069,ERS180312,02.O.05,Salmonella enterica subsp. enterica serovar Agona; MC_05-0632,2005,Human(Feces),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","02.O.05, Genomic analysis of a recently emerged serovar of Salmonella, ena-EXPERIMENT-UCC-09-10-2012-18:51:36:980-2",58095
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERR178862, ERP001848, ERA167131, ERX155008, ERS180313",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889065,SAMEA1889065,ERS180313,03.O.05,Salmonella enterica subsp. enterica serovar Agona; MC_05-0601,2005,Human(Feces),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","03.O.05, ena-EXPERIMENT-UCC-09-10-2012-18:51:36:981-3, Genomic analysis of a recently emerged serovar of Salmonella",58095
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERP001848, ERX155009, ERR178863, ERS180314, ERA167131",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889043,SAMEA1889043,ERS180314,04.O.05,Salmonella enterica subsp. enterica serovar Agona; MC_05-0750,2005,Human(Feces),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","ena-EXPERIMENT-UCC-09-10-2012-18:51:36:981-4, Genomic analysis of a recently emerged serovar of Salmonella, 04.O.05",58095
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERP001848, ERA167131, ERS180315, ERX155010, ERR178864",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889023,SAMEA1889023,ERS180315,05.O.06,Salmonella enterica subsp. enterica serovar Agona; MC_06-0567,2005,Human(Feces),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","05.O.06, ena-EXPERIMENT-UCC-09-10-2012-18:51:36:981-5, Genomic analysis of a recently emerged serovar of Salmonella",58095
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERS180316, ERP001848, ERA167131, ERX155011, ERR178865",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889077,SAMEA1889077,ERS180316,06.O.05,Salmonella enterica subsp. enterica serovar Agona; MC_05-0602,2005,Human(Feces),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","ena-EXPERIMENT-UCC-09-10-2012-18:51:36:982-6, Genomic analysis of a recently emerged serovar of Salmonella, 06.O.05",58095
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERP001848, ERA167131, ERR178866, ERX155012, ERS180317",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889061,SAMEA1889061,ERS180317,07.O.05,Salmonella enterica subsp. enterica serovar Agona; MC_05-0587,2005,Human(Feces),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","ena-EXPERIMENT-UCC-09-10-2012-18:51:36:982-7, 07.O.05, Genomic analysis of a recently emerged serovar of Salmonella",58095
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERP001848, ERA167131, ERR178867, ERS180318, ERX155013",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889048,SAMEA1889048,ERS180318,08.A.05,Salmonella enterica subsp. enterica serovar Agona; MC_05-0784,2005,Animal(Cattle),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","ena-EXPERIMENT-UCC-09-10-2012-18:51:36:982-8, 08.A.05, Genomic analysis of a recently emerged serovar of Salmonella",58095
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERX155014, ERP001848, ERA167131, ERR178868, ERS180319",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889053,SAMEA1889053,ERS180319,09.F.08,Salmonella enterica subsp. enterica serovar Agona; MC_08-0766,2008,Food(Poultry),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","09.F.08, Genomic analysis of a recently emerged serovar of Salmonella, ena-EXPERIMENT-UCC-09-10-2012-18:51:36:983-9",58095
1,Illumina Genome Analyzer IIx,PAIRED,unspecified,RANDOM,GENOMIC,WGS,ILLUMINA,"ERX155015, ERA167131, ERS180320, ERR178869, ERP001848",Application Read,"1, 0","F1, R2","Forward, Reverse",SAMEA1889057,SAMEA1889057,ERS180320,10.A.05,Salmonella enterica subsp. enterica serovar Agona; MC_05-0595,2005,Animal(Poultry),Salmonella enterica subsp. enterica serovar Agona,"Salmonella enterica serovar Agona has caused multiple foodborne outbreaks of gastroenteritis since it was first isolated in 1952. We analyzed the genomes of 73 isolates from global sources, comparing five distinct outbreaks with sporadic infections. Agona consists of three lineages with minimal mutational diversity: only 846 single nucleotide polymorphisms (SNPs) have accumulated in the non-repetitive, core genome since Agona evolved in 1932 and underwent a major population expansion in the 1960s. Homologous recombination with other serovars of S. enterica imported 42 recombinational tracts (360 kb) in 5/143 nodes within the genealogy, which resulted in 3,164 additional SNPs. In contrast to this paucity of genetic diversity, Agona is highly diverse according to pulsed field gel electrophoresis (PFGE), which is used to assign isolates to outbreaks. PFGE diversity reflects a highly dynamic accessory genome associated with the gain or loss (indels) of 51 bacteriophages, 10 plasmids, and 6 integrative conjugational systems (ICE/IMEs). Unlike the core genome, these indels occurred repeatedly in independent nodes (homoplasies), resulting in inaccurate PFGE genealogies. Most indels did not introduce cargo genes relevant to infection, other than antibiotic resistance, and plasmids and ICE/IMEs were not correlated with homologous recombination. Each outbreak was caused by an independent clade, without universal, outbreak-associated genomic features. Thus, most of the genetic diversity within this recently emerged pathogen reflects changes in the accessory genome, or is due to recombination, but these changes probably reflect neutral processes rather than Darwinian selection.",PRJEB1944,PRJEB1944,ERP001848,Genomic analysis of a recently emerged serovar of Salmonella,"Neutral genomic microevolution of a recently emerged pathogen, Salmonella enterica serovar Agona","10.A.05, ena-EXPERIMENT-UCC-09-10-2012-18:51:36:983-10, Genomic analysis of a recently emerged serovar of Salmonella",58095
