Salmonella	Serogroup	Group	O Antigen	Shared H1 Probe	H Phase 1	H Phase 2	Other
Kaevlinge	I	O:16 (l)	16		"z4,z24"	-	
IIIb	U	O:43 (U)	43	"g,s,t/g,t"	"g,t"	-	
IIIa	W	O:45 (W)	45		z29	-	
IIIb	Y	O:48 (Y)1	48		"z4,z24"	-	
II	C1	O:7 (C1)	"6,7"		"z4,z23"	-	
Senftenberg	E	"O:1,3,19 (E4)"	"1,3,19"	"g,s,t/g,t"	"g,[s],t"	-	"[z27],[z34],[z37],[z43], [z45], [z46],[z82]"
Adelaide	O	O:35 (O)	35		"f,g"	-	[z27]
Havana	G	O:13 (G)	"1,13,23"		"f,g,[s]"	-	[z79]
Cubana	G	O:13 (G)	"1,13,23"		z29	-	"[z37],[z43]"
Ealing	O	O:35 (O)	35		"g,m,s"	-	
Alachua	O	O:35 (O)	35		"z4,z23"	-	"[z37],[z45]"
Ago	N	O:30 (N)	30		z38	-	
Monschaui	O	O:35 (O)	35	mt/mptu	"m,t"	-	
Amsterdam	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"		"g,m,s"	-	
Ebrie	O	O:35 (O)	35		"g,m,t"	-	
Agbeni	G	O:13 (G)	"1,13,23"		"g,m,[s],[t]"	-	
Kintambo	G	O:13 (G)	"1,13,23"	mt/mptu	"m,t"	-	
Romanby	G	O:13 (G)	"1,13,23"		"z4,z24"	-	
Ajiobo	G	O:13 (G)	"13,23"		"z4,z23"	-	
Kiel	A/D	O:2 (A)	"1,2,12"		"g,p"	-	
Agodi	O	O:35 (O)	35	"g,s,t/g,t"	"g,t"	-	
Cannstatt	E	"O:1,3,19 (E4)"	"1,3,19"	mt/mptu	"m,t"	-	
Dessau	E	"O:1,3,19 (E4)"	"1,3,15,19"	"g,s,t/g,t"	"g,s,t"	-	
Kouka	E	"O:1,3,19 (E4)"	"1,3,19"		"g,m,[t]"	-	
Rideau	E	"O:1,3,19 (E4)"	"1,3,19"		"f,g"	-	
Sambre	E	"O:1,3,19 (E4)"	"1,3,19"		"z4,z24"	-	
IIIa	F	O:11 (F)	11		"z4,z23"	-	
IV	F	O:11 (F)	11		"g,z51"	-	
IV	F	O:11 (F)	11		"z4,z23"	-	
IV	F	O:11 (F)	11		"z4,z32"	-	
Lene	F	O:11 (F)	11		z38	-	
Missouri	F	O:11 (F)	11	"g,s,t/g,t"	"g,s,t"	-	
Moers	F	O:11 (F)	11	mt/mptu	"m,t"	-	
Yehuda	F	O:11 (F)	11		"z4,z24"	-	
Agoueve	G	O:13 (G)	"13,22"		z29	-	
Fanti	G	O:13 (G)	"13,23"		z38	-	
II	G	O:13 (G)	"13,22"		z	-	
IIIa	G	O:13 (G)	"1,13,23"		"g,z51"	-	
IIIa	G	O:13 (G)	"13,22"		"z4,z23"	-	
IIIa	G	O:13 (G)	"13,23"		"z4,z23,[z32]"	-	
IIIa	G	O:13 (G)	"13,23"		"z4,z24"	-	
Leiden	G	O:13 (G)	"13,22"		z38	-	
Marburg	G	O:13 (G)	"13,23"		k	-	
Newyork	G	O:13 (G)	"13,22"	"g,s,t/g,t"	"g,s,t"	-	
Okatie	G	O:13 (G)	"13,23"	"g,s,t/g,t"	"g,[s],t"	-	
V	G	O:13 (G)	"13,22"		r	-	
V	G	O:13 (G)	"13,22"		z39	-	
Washington	G	O:13 (G)	"13,22"	mt/mptu	"m,t"	-	
Adeoyo	I	O:16 (l)	16		"g,m,[t]"	-	
Cardoner	I	O:16 (l)	16	"g,s,t/g,t"	"g,s,t"	-	
II	I	O:16 (l)	16		"z4,z23"	-	
II	I	O:16 (l)	16		"z4,z24"	-	
IV	I	O:16 (l)	16		"z4,z23"	-	
IV	I	O:16 (l)	16		"z4,z24"	-	
IV	I	O:16 (l)	16		"z4,z32"	-	
IV	I	O:16 (l)	16		z36	-	
Mpouto	I	O:16 (l)	16	mt/mptu	"m,t"	-	
Naware	I	O:16 (l)	16		z38	-	
Nikolaifleet	I	O:16 (l)	16		"g,m,s"	-	
Saloniki	I	O:16 (l)	16		z29	-	
Tees	I	O:16 (l)	16		"f,g"	-	[z37]
Bama	J	O:17 (J)	17	mt/mptu	"m,t"	-	
II	J	O:17 (J)	17		"g,m,s,t"	-	
II	J	O:17 (J)	17	mt/mptu	"m,t"	-	
II	J	O:17 (J)	17		k	-	
II	J	O:17 (J)	17		y	-	
II	J	O:17 (J)	17		z10	-	
IIIa	J	O:17 (J)	17		"z4,z23"	-	
IIIa	J	O:17 (J)	17		"z4,z23,z32"	-	
IIIa	J	O:17 (J)	17		"z4,z24"	-	
IIIa	J	O:17 (J)	17		"z4,z32"	-	
IIIa	J	O:17 (J)	17		z29	-	
IIIa	J	O:17 (J)	17		z36	-	
IV	J	O:17 (J)	17		z29	-	
IV	J	O:17 (J)	17		z36	-	
Kandla	J	O:17 (J)	17		z29	-	
Lowestoft	J	O:17 (J)	17	"g,s,t/g,t"	"g,s,t"	-	
Blukwa	K	O:18 (K)	"6,14,18"		"z4,z24"	-	
Delmenhorst	K	O:18 (K)	18		z71	-	
Eaubonne	K	O:18 (K)	18	"g,s,t/g,t"	"g,s,t"	-	
II	K	O:18 (K)	18		"z4,z23"	-	
II	K	O:18 (K)	18		"z4,z24"	-	
II	K	O:18 (K)	18		z36	-	
IIIa	K	O:18 (K)	18		"g,z51"	-	
IIIa	K	O:18 (K)	18		"z4,z23"	-	
IIIa	K	O:18 (K)	18		"z4,z32"	-	
IV	K	O:18 (K)	18		"g,z51"	-	
IV	K	O:18 (K)	18		"z36,z38"	-	
Langenhorn	K	O:18 (K)	18	mt/mptu	"m,t"	-	
Pontypridd	K	O:18 (K)	18		"g,m"	-	
Potengi	K	O:18 (K)	18		z	-	
Sinthia	K	O:18 (K)	18		z38	-	
Nitra	A/D	O:2 (A)	"2,12"	g-complex	"g,m"	-	
Baguida	L	O:21 (L)	21		"z4,z23"	-	
II	L	O:21 (L)	21		"g,[m],[s],t"	-	
II	L	O:21 (L)	21	mt/mptu	"m,t"	-	
II	L	O:21 (L)	21		z	-	
II	L	O:21 (L)	21		"z4,z24"	-	
IIIa	L	O:21 (L)	21		"g,z51"	-	
IIIa	L	O:21 (L)	21		"z4,z23"	-	
IIIa	L	O:21 (L)	21		"z4,z24"	-	
IIIa	L	O:21 (L)	21		z29	-	
IIIa	L	O:21 (L)	21		z36	-	
IV	L	O:21 (L)	21		"g,z51"	-	
IV	L	O:21 (L)	21	mt/mptu	"m,t"	-	
IV	L	O:21 (L)	21		"z4,z23"	-	
IV	L	O:21 (L)	21		"z4,z32"	-	
IV	L	O:21 (L)	21		z36	-	
Keve	L	O:21 (L)	21		"l,w"	-	
Mountmagnet	L	O:21 (L)	21		r	-	
Djermaia	M	O:28 (M)	28		z29	-	
Friedrichsfelde	M	O:28 (M)	28		"f,g"	-	
Kethiabarny	M	O:28 (M)	28		"z4,z24"	-	
Ona	M	O:28 (M)	28	"g,s,t/g,t"	"g,s,t"	-	
Florian	E	"O:3,10 (E1)"	"3,{10}{15}"		"z4,z24"	-	
II	E	"O:3,10 (E1)"	"3,10"	"g,s,t/g,t"	"g,t"	-	
II	E	"O:3,10 (E1)"	"3,10"		"z4,z24"	-	
Jedburgh	E	"O:3,10 (E1)"	"3,{10}{15}"		z29	-	
Macallen	E	"O:3,10 (E1)"	"3,10"		z36	-	
Suberu	E	"O:3,10 (E1)"	"3,10"		"g,m"	-	
Westhampton	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"	"g,s,t/g,t"	"g,s,t"	-	[z37]
Bodjonegoro	N	O:30 (N)	30		"z4,z24"	-	
