Original_Serovar,curated_serovar,variant,other_serovar_info
 Enteritidis,Enteritidis,,
"0:4,12:g,s,t :e,n,x","II 9,12:g,s,t:e,n,x",,
"1,13,22:i:-","V 1,13,22:i:-",,
"1,4,[5],12:i:1,2",Typhimurium,,
"1,4,5,12:e,h:-","I 1,4,[5],12:e,h:-",,
"1,4,5,12:i:-","I 1,4,[5],12:i:-",,
"1,4,5:b:z6","I 1,4,[5]:b:z6",,
"1,40:g,z51:-",Travis,,
"1,40:z35:-","V 1,40:z35:-",,
"1,40:z4,z32:-","IV 1,40:z4,z32:-",,
"1,6,14,25:a:e,n,x","VI [1],6,14,[25]:a:e,n,x",,
"1,6,14:a:e,n,x","VI [1],6,14,[25]:a:e,n,x",,
"1,9,12:-:-",Gallinarum,,
"11:a:1,5","Marseille|VI 11:a:1,5",,
"11:b:1,7","VI 11:b:1,7",,
"11:b:e,n,x","VI 11:b:e,n,x",,
"11:z4,z23:-","IIIa 11:z4,z23:-|IV 11:z4,z23:-",,
"13,22:z29:enx","II 13,22:z29:e,n,x",,
"13,23:z:-","13,23:z:-",,
13:-:-,13:-:-,,
16:b:-,16:b:-,,
"16:z4,z32:-","IV 16:z4,z32:-",,
18:z10:z6,Carnac|II 18:z10:z6,,
"18:z4,z23:-","Aarhus|Cerro| II 18:z4,z23:-|IIIa 18:z4,z23:-",,
"18:z4,z32:-","Aarhus|Cerro| II 18:z4,z23:-|IIIa 18:z4,z23:-",,
"21:z4,z23:-","Baguida|IIIa 21:z4,z23:-|IV 21:z4,z23:-",,
"28:e,h:-","28:e,h:-",,
"3,10:e,h:-","3,10:e,h:-",,
"3,10:z41:2,5","3,10:z41:2,5",,
"30:1,z28:z6","30:1,z28:z6",,
38:(k):z35:-,38:(k):z35:-,,
38:z10:z53,38:z10:z53,,
39:b:-,39:b:-,,
"4,[5],12:b:-","I 4,[5],12:b:-",,
"4,[5],12:d:-","I 1,4,[5],12:d:-",,
"4,[5],12:i:-","I 1,4,[5],12:i:-",,
"4,[5],12:r:-","I 1,4,[5],12:r:-",,
"4,12:-:1,2","I 1,4,[5],12:r:1,2",,
"4,12:d:-","I 4,[5],12:d:-",,
"4,12:i:-","I 1,4,[5],12:i:-",,
"4,12:r:-","1,4,[5],12:r:-",,
"4,5,12: i :-","I 1,4,[5],12:i:-",,
"4,5,12:b:-","I 1,4,[5],12:b:-",,
"4,5,12:i:-","I 1,4,[5],12:i:-",,
"4,5,12:r:-","1,4,[5],12:r:-",,
"4,5:i:-","I 1,4,[5],12:i:-",,
40:z35:-,40:z35:-,,
"40:z4,z24:[z39]","40:z4,z24:[z39]",,
"41:b:1,7","41:b:1,7",,
"41:z4,z23:-","41:z4,z23:-",,
"42:b:1,5","42:b:1,5",,
"42:f:g,t:-","42:f:g,t:-",,
"42:z:1,5","42:z:1,5",,
"43:z4,z23:-","43:z4,z23:-",,
"43:z4,z32:-","43:z4,z32:-",,
44:r:-,44:r:-,,
44:z36[z38]:-,44:z36[z38]:-,,
44:z39:-,44:z39:-,,
"44:z4,z24:-","44:z4,z24:-",,
"45:a:e,n,x","45:a:e,n,x",,
45:d:-,45:d:-,,
"45:g,z51:-","45:g,z51:-",,
"47:a:1,5","47:a:1,5",,
"47:b:1,5","47:b:1,5",,
47:d:z39,47:d:z39,,
"47:l,v:e,n,x","47:l,v:e,n,x",,
"47:z4,z23:-","47:z4,z23:-",,
47:z4z23:-,47:z4z23:-,,
48: nonmotile,48:-:-,,
"48: z10: e,n,x,z15","48: z10: e,n,x,z15",,
48:a:-,48:a:-,,
48:d:z6,48:d:z6,,
"48:g,z51:-","48:g,z51:-",,
48:i:-,48:i:-,,
48:i:z,48:i:z,,
48:z35:-,48:z35:-,,
48:z39:-,48:z39:-,,
"48:z4,z23,z32:-","48:z4,z23,z32:-",,
"48:z4,z24:-","48:z4,z24:-",,
"48:z4,z32:-","48:z4,z32:-",,
48:z41:-,48:z41:-,,
50:-:-,50:-:-,,
50:b:z6,50:b:z6,,
"50:g,f:-","50:g,f:-",,
"50:g,z51:-","50:g,z51:-",,
50:k:z,50:k:z,,
50:k:z35,50:k:z35,,
50:y:-,50:y:-,,
"50:z4,z23:-","50:z4,z23:-",,
53:lz28:z39,53:lz28:z39,,
55:k:z39,55:k:z39,,
"56:z10:e,n,x",56:z10:enx,,
"56:z4,z23,(z32):-","56:z4,z23,(z32):-",,
58:a:-,58:a:-,,
58:d:z6,58:d:z6,,
"58:l,z13,z28:z6","58:l,z13,z28:z6",,
"6, 7: k: -","6, 7: k: -",,
"6, 8: e, h: -","6, 8: e, h: -",,
"6, 8:e, h:-","6, 8:e, h:-",,
"6,14,24,25:a:e,n,z15","6,14,24,25:a:e,n,z15",,
"6,14,25:b:-","6,14,25:b:-",,
"6,14,25:z10:1,(2),7","6,14,25:z10:1,(2),7",,
"6,7,14:g,m[p],s:[1,2,7]","6,7,14:g,m[p],s:[1,2,7]",,
"6,7,14:k:-","6,7,14:k:-",,
"6,7: l w:-","6,7: l w:-",,
"6,7:-:-","6,7:-:-",,
"6,7:-:1,5","6,7:-:1,5",,
"6,7:c:1,5","6,7:c:1,5",,
"6,7:e,h:-","6,7:e,h:-",,
"6,7:g,m,s:e,n,z15","6,7:g,m,s:e,n,z15",,
"6,7:k:-","6,7:k:-",,
"6,7:k:z35","6,7:k:z35",,
"6,7:l,w:-","6,7:l,w:-",,
"6,7:m,t:-","6,7:m,t:-",,
"6,7:r:-","6,7:r:-",,
"6,7:z:1,5","6,7:z:1,5",,
"6,7:z10:-","6,7:z10:-",,
"6,7:z41:1,7","6,7:z41:1,7",,
"6,8,20:e,h:-","6,8,20:e,h:-",,
"6,8:2:-","6,8:2:-",,
"6,8:e,h:-","6,8:e,h:-",,
"6,8:eh:-","6,8:eh:-",,
6.8:eh:-,6.8:eh:-,,
"60:g,m,t:z6","60:g,m,t:z6",,
"60:r:e,n,x,z15","60:r:e,n,x,z15",,
60:r:z,60:r:z,,
60:z41:-,60:z41:-,,
"61:-:1,5,7","61:-:1,5,7",,
"61:k:1,5,(7)","IIIb 61:k:1,5,(7)",,
"61:l,v:1,5,7","IIIb 61:k:1,5,(7)",,
61:z35:-,V 61:z35:-,,
62:z36:-,62:z36:-,,
62:z4:z23:-,62:z4:z23:-,,
"63:g,z51:-","63:g,z51:-",,
65:(k):z,65:(k):z,,
66:z41:-,66:z41:-,,
66:z65:-,66:z65:-,,
"7,14:z29:-","7,14:z29:-",,
"8,20 :-: z6","8,20 :-: z6",,
"8,20:-:z6","8,20:-:z6",,
"8,20:e,h:-","8,20:e,h:-",,
"8,20:nonmotile","8,20:-:-",,
8:-:-,8:-:-,,
8:y:-,8:y:-,,
"9,12,[Vi]:d:[Z66]",Typhi,,
"9,12:-:-",Gallinarum,,
"9,12:5:-","9,12:5:-",,
"9,12:L,z28:-","9,12:L,z28:-",,
Aba,Aba,,
Abaeeteuba,Abaetetuba,,
Abaetetuba,Abaetetuba,,
Aberdeen,Aberdeen,,
Abidjan,Abidjan,,
Abony,Abony,,
Abortusequi,Abortusequi,,
Abortusovis,Abortusovis,,
Adabraka,Adabraka,,
Adelaide,Adelaide,,
Aderike,Aderike,,
Agama,Agama,,
Agbeni,Agbeni,,
Ago,Ago,,
Agona,Agona,,
Agoueve,Agoueve,,
Ajiobo,Ajiobo,,
Alachua,Alachua,,
Albany,Albany,,
Albert,Albert,,
Altona,Altona,,
Amager,Amager,,
Amersfoort,Amersfoort,,
Amherstiana,Amherstiana,,
Amoutive,Amoutive,,
Amsterdam,Amsterdam,,
"Amsterdam var O 15+,34+ (Drypool)",Amsterdam,"15+,34+",Drypool
Anatum,Anatum,,
Anatum var. 15+,Anatum,15+,
Anatum var. O 15+,Anatum,15+,
"Anatum var. O 15+,34+ (Minneapolis)",Anatum,"15+,35+",Minneapolis
Anecho,Anecho,,
Anfo,Anfo,,
Ank,Ank,,
Apapa,Apapa,,
Apeyeme,Apeyeme,,
Aqua,Aqua,,
Arechavaleta,Arechavaleta,,
Aschersleben,Aschersleben,,
Astridplein,Astridplein,,
Atento,Atento,,
Athinai,Athinai,,
Augustenborg,Augustenborg,,
"B 1,4,5,12:b:-","I 1,4,[5],12:b:-",,
Babelsberg,Babelsberg,,
Baguida,Baguida,,
Bahati,Bahati,,
Bahrenfeld,Bahrenfeld,,
Baildon,Baildon,,
Ball,Ball,,
Banana,Banana,,
Bangkok,Bangkok,,
Banjul,Banjul,,
Bardo,Bardo,,
Bareilly,Bareilly,,
Bargny,Bargny,,
Barranquilla,Barranquilla,,
Beaudesert,Beaudesert,,
Benin,Benin,,
Benue,Benue,,
Bere,Bere,,
Berta,Berta,,
Bilthoven,"II 47:a:1,5",,Bilthoven
Binza,Orion,15+,
Birkenhead,Birkenhead,,
Bispebjerg,Bispebjerg,,
Blegdam,Blegdam,,
Blijdorp,Blijdorp,,
Blockley,Blockley,,
Bochum,Bochum,,
Bonariensis,Bonariensis,,
Bonn,Bonn,,
Bournemouth,Bournemouth,,
Bovis-morbificans,Bovismorbificans,,
Bovismorbificans,Bovismorbificans,,
Braenddrup,Braenderup,,
Braenderup,Braenderup,,
Brancaster,Brancaster,,
Brandenberg,Brandenburg,,
brandenburg,Brandenburg,,
Brazzaville,Brazzaville,,
Bredeney,Bredeney,,
Bredeny,Bredeney,,
Brezany,Brezany,,
Brisbane,Brisbane,,
Brookfield,V 66:z41:-,,Brookfield
Brunei,Brunei,,
Bsilla,Bsilla,,
Buckeye,Buckeye,,
Budapest,Budapest,,
Butantan,Butantan,,
Buzu,Buzu,,
Cambridge,Meleagridis,,
Canastel,"II 9,12:z29:1,5",,Canastel
Cannstatt,Cannstatt,,
Caracas,Caracas,,
Carmel,Carmel,,
Carno,Carno,,
Carrau,Carrau,,
Cerro,Cerro,,
Cerro var. O 14+ (Siegburg),Cerro,14+,Sieburg
Chailey,Chailey,,
Champaign,Champaign,,
Chandans,Chandans,,
Charity,Charity,,
Chester,Chester,,
Chicago,Chicago,,
Chincol,Chincol,,
Chingola,Chingola,,
Cholerae-suis,Choleraesuis,,
Choleraesuis,Choleraesuis,,
Choleraesuis var. Kunzendorf,Choleraesuis,Kunzendorf,
CHOLERAESUIS VAR.KUNZENDORF,Choleraesuis,Kunzendorf,
Claibornei,Claibornei,,
Coeln,Coeln,,
Coleypark,Coleypark,,
Colindale,Colindale,,
Colobane,Colobane,,
Concord,Concord,,
Corvalis,Corvallis,,
Corvallis,Corvallis,,
Cotham,Cotham,,
Cremieu,Cremieu,,
Cubana,Cubana,,
Curacao,Curacao,,
Decateur,Choleraesuis,Decatur,
Degania,"II 40:z4,z24:z39",,Degania
Denver,Denver,,
derby,Derby,,
Deversoir,Deversoir,,
Djibouti,Djibouti,,
Djugu,Djugu,,
Dortmund,Dortmund,,
Drypool,Amsterdam,15+,
Dublin,Dublin,,
Duesseldorf,Duesseldorf,,
Duisberg,Duisburg,,
Duisburg,Duisburg,,
Dunkwa,Dunkwa,,
Durban,Durban,,
Durham,Durham,,
Ealing,Ealing,,
Eastbourne,Eastbourne,,
Ebrie,Ebrie,,
Ede,Ede,,
Edinburg,Edinburg,,
Eimsbuettel,Livingstone,14+,
Eko,Eko,,
Elisabethville,Elisabethville,,
