on|canada	Ontario
qc|canada	Quebec
ns|canada	Nova Scotia
nb|canada	New Brunswick
mb|canada	Manitoba
bc|canada	British Columbia
pe|canada	Prince Edward Island
sk|canada	Saskatchewan
ab|canada	Alberta
nl|canada	Newfoundland
yukon|canada	Yukon Territory
al|united states	Alabama
ak|united states	Alaska
az|united states	Arizona
ar|united states	Arkansas
ca|united states	California
co|united states	Colorado
ct|united states	Connecticut
de|united states	Delaware
fl|united states	Florida
ga|united states	Georgia
hi|united states	Hawaii
id|united states	Idaho
il|united states	Illinois
in|united states	Indiana
ia|united states	Iowa
ks|united states	Kansas
ky|united states	Kentucky
la|united states	Louisiana
me|united states	Maine
md|united states	Maryland
ma|united states	Massachusetts
mi|united states	Michigan
mn|united states	Minnesota
ms|united states	Mississippi
mo|united states	Missouri
mt|united states	Montana
ne|united states	Nebraska
nv|united states	Nevada
nh|united states	New Hampshire
nj|united states	New Jersey
nm|united states	New Mexico
ny|united states	New York
nc|united states	North Carolina
nd|united states	North Dakota
oh|united states	Ohio
ok|united states	Oklahoma
or|united states	Oregon
pa|united states	Pennsylvania
ri|united states	Rhode Island
sc|united states	South Carolina
sd|united states	South Dakota
tn|united states	Tennessee
tx|united states	Texas
ut|united states	Utah
vt|united states	Vermont
va|united states	Virginia
wa|united states	Washington
wv|united states	West Virginia
wi|united states	Wisconsin
wy|united states	Wyoming
ac|brazil	Acre
al|brazil	Alagoas
ap|brazil	Amapa
am|brazil	Amazonas
ba|brazil	Bahia
ce|brazil	Ceara
df|brazil	Distrito Federal
es|brazil	Espirito Santo
go|brazil	Goias
ma|brazil	Maranhao
mt|brazil	Mato Grosso
ms|brazil	Mato Grosso do Sul
mg|brazil	Minas Gerais
pa|brazil	Para
pb|brazil	Paraiba
pr|brazil	Parana
pe|brazil	Pernambuco
pi|brazil	Piaui
rj|brazil	Rio de Janeiro
rn|brazil	Rio Grande do Norte
rs|brazil	Rio Grande do Sul
ro|brazil	Rondonia
rr|brazil	Roraima
sc|brazil	Santa Catarina
sp|brazil	Sao Paulo
se|brazil	Sergipe
to|brazil	Tocantins
freie hansestadt bremen|gremany	Bremen
hamburg|germany	Hamburg
bayern|germany	Bavaria
saxony|germany	Sachsen
freistaat thuringen|germany	Thuringia
lower saxony|germany	Niedersachsen
rheinland-pfalz|germany	Rhineland Palatinate
northrhine-westphalia|germany	North Rhine-Westphalia
oberosterreich|austria	Oberoesterreich
parvan|afghanistan	Parwan
prov. buenos aires|argentina	Buenos Aires
entre rÃ­os|argentina	Entre Rios
aveiro|argentina	Mendoza
r. negro |argentina	Rio Negro
r. negro |argentina	Rio Negro
neuquen/rio negro|argentina	Rio Negro
rio negro |argentina	Rio Negro
san luiz|argentina	San Luis
santa cruz |argentina	Santa Cruz
kotayk|armenia	Kotayk'
sjunik|armenia	Syunik'
vayots dzor|armenia	Vayots'Dzor
act|australia	Australian Capital Territory
nsw|australia	New South Wales
nt|australia	Northern Territory
qld|australia	Queensland
sa|australia	South Australia
tas|australia	Tasmania
vic|australia	Victoria
wa|australia	Western Australia
west australia|australia	Western Australia
neusiedlersee|austria	Burgenland
lower austria|austria	Niederosterreich
lower-austria|austria	Niederosterreich
karnten|austria	Carinthia
nierderoesterreich|austria	Niederosterreich
niederoesterreich|austria	Niederosterreich
nierderoesterreich|austria	Niederosterreich
oberosterreich|austria	Oberoesterreich
upper-austria|austria	Oberoesterreich
steiermark|austria	Styria
tyrol|austria	Tirol
wien|austria	Vienna
nakhichevan|azerbaijan	Naxcivan
antwerpen|belgium	Antwerpen (Antwerp)
hainaut|belgium	Henegouwen (Hainaut)
namur|belgium	Namen (Namur)
oost-vlaanderen|belgium	Oost-Vlaanderen (East Flanders)
vlaams-brabant|belgium	Vlaams-Brabant (Flemish Brabant)
thimbu|bhutan	Thimpu
chuquisaca province|bolivia	Chuquisaca
la paz prov.|bolivia	La Paz
la paz province|bolivia	La Paz
santa cruz prov.|bolivia	Santa Cruz
santa cruz prov.|bolivia	Santa Cruz
cochabamba-santa cruz|bolivia	Santa Cruz
am|brazil	Amazonas
amanzonas|brazil	Amazonas
ba|brazil	Bahia
federal district|brazil	Distrito Federal
es|brazil	Espirito Santo
espirito santos|brazil	Espirito Santo
goiais|brazil	Goias
matro grosso |brazil	Mato Grosso
mato gosso|brazil	Mato Grosso
coximms|brazil	Mato Grosso do Sul
pa|brazil	Para
pr|brazil	Parana
rs|brazil	Rio Grande do Sul
ro|brazil	Roraima
rr|brazil	Roraima
sc|brazil	Santa Catarina
sap|brazil	Sergipe
tocantis|brazil	Tocantins
smolyan|bulgaria	Sofiya
sofia|bulgaria	Sofiya
sofija|bulgaria	Sofiya
bantaey menchay|cambodia	Banteay Mean Cheay
ratanakiri|cambodia	Rotanah Kiri
rotanÄƒh kiri |cambodia	Rotanah Kiri
south west|cameroon	Sud-Ouest
central african republic|bamingui - bangoran pr.	Bamingui-Bangoran
la araucania|chile	Araucania
viii region|chile	Biobio
x region|chile	Los Lagos
marga marga|chile	Valparaiso
chong qing|china	Chongqing
fukien (=fujian)|china	Fujian
lianhuashan|china	Gansu
